Based on Quarterly Estimates of GDP for April - June 2025 (Second Preliminary Estimates）,GDP Gap,Potential GDP Growth Rate,Total Factor Productivity (TFP),Capital Input,Hours Worked,Number of Employed
2015:Q1,0.1,0.8,0.7,0.1,-0.3,0.3
2015:Q2,0.1,0.8,0.6,0.1,-0.3,0.3
2015:Q3,0,0.8,0.6,0.1,-0.3,0.4
2015:Q4,-0.4,0.8,0.6,0.2,-0.4,0.4
2016:Q1,0.2,0.7,0.5,0.2,-0.4,0.4
2016:Q2,-0.1,0.7,0.5,0.2,-0.4,0.5
2016:Q3,-0.1,0.7,0.4,0.2,-0.4,0.5
2016:Q4,-0.2,0.7,0.4,0.2,-0.5,0.5
2017:Q1,0.5,0.7,0.4,0.2,-0.5,0.6
2017:Q2,0.7,0.6,0.3,0.2,-0.5,0.6
2017:Q3,1.4,0.6,0.3,0.2,-0.5,0.6
2017:Q4,1.3,0.6,0.3,0.2,-0.6,0.6
2018:Q1,1.2,0.6,0.3,0.2,-0.6,0.6
2018:Q2,1.5,0.6,0.3,0.2,-0.6,0.7
2018:Q3,0.9,0.6,0.3,0.2,-0.6,0.7
2018:Q4,0.5,0.5,0.3,0.2,-0.7,0.7
2019:Q1,0.6,0.6,0.3,0.2,-0.7,0.7
2019:Q2,0.9,0.6,0.4,0.2,-0.7,0.6
2019:Q3,0.9,0.6,0.4,0.2,-0.7,0.6
2019:Q4,-2.1,0.6,0.4,0.2,-0.7,0.6
2020:Q1,-1.7,0.1,0.5,0.2,-0.6,0.2
2020:Q2,-9.2,0.2,0.5,0.2,-0.6,0.1
2020:Q3,-4.3,0.2,0.5,0.2,-0.6,0.1
2020:Q4,-2.7,0.2,0.5,0.2,-0.6,0.1
2021:Q1,-2.5,0.2,0.6,0.1,-0.6,0.1
2021:Q2,-1.9,0.2,0.6,0.1,-0.6,0.1
2021:Q3,-2.3,0.2,0.6,0.1,-0.6,0.1
2021:Q4,-1.3,0.2,0.6,0.1,-0.6,0.1
2022:Q1,-1.8,0.2,0.6,0.1,-0.5,0.1
2022:Q2,-1,0.2,0.6,0.1,-0.5,0.1
2022:Q3,-1.4,0.2,0.6,0.1,-0.5,0.1
2022:Q4,-1.2,0.2,0.6,0.1,-0.5,0.1
2023:Q1,0,0.2,0.5,0.1,-0.5,0.1
2023:Q2,0.2,0.3,0.5,0.1,-0.5,0.1
2023:Q3,-0.7,0.3,0.5,0.1,-0.5,0.1
2023:Q4,-0.9,0.3,0.5,0.1,-0.5,0.1
2024:Q1,-1.2,0.4,0.5,0.1,-0.4,0.1
2024:Q2,-0.9,0.4,0.5,0.1,-0.4,0.2
2024:Q3,-0.4,0.5,0.5,0.1,-0.4,0.2
2024:Q4,0,0.5,0.5,0.1,-0.4,0.2
2025:Q1,-0.1,0.5,0.5,0.1,-0.3,0.2
2025:Q2,0.3,0.6,0.5,0.1,-0.3,0.2
